Date,Price,Open,High,Low,Change %
2022-10-04,59.51,58.5,59.52,55.08,5.81%
2022-10-03,56.24,60.48,60.48,55.36,0.99%
2022-09-30,55.69,56.34,56.56,54.64,2.35%
2022-09-29,54.41,55.52,55.84,54.14,-1.11%
2022-09-28,55.02,56.42,56.78,54.84,-1.56%
2022-09-27,55.89,56.47,56.61,55.49,-1.39%
2022-09-26,56.68,53.37,56.73,52.87,11.53%
2022-09-23,50.82,49.86,51.12,49.57,7.90%
2022-09-22,47.1,48.73,48.77,47,-3.19%
2022-09-21,48.65,49.2,49.69,48,0.87%
2022-09-20,48.23,46.89,49.3,45.64,3.17%
2022-09-19,46.75,48.22,49.28,46.26,-1.45%
2022-09-16,47.44,45.71,49.02,45.59,1.74%
2022-09-15,46.63,48.77,50.16,40.67,2.21%
2022-09-14,45.62,43.22,46.19,42.74,1.81%
2022-09-13,44.81,43.72,46.54,39.33,1.49%
2022-09-12,44.15,41.7,44.91,41.39,-9.60%
2022-09-09,48.84,51.38,51.38,48.65,-4.78%
2022-09-08,51.29,52.2,52.7,50.7,-3.81%
2022-09-07,53.32,51.92,53.72,51.63,6.64%
2022-09-06,50,55.69,55.69,49.54,-7.24%
2022-09-02,53.9,54.55,54.59,52.85,0.00%
2022-09-01,53.9,53.16,53.98,52.71,3.44%
2022-08-31,52.11,52,52.69,51.06,4.76%
2022-08-30,49.74,51.45,51.45,48.73,4.21%
2022-08-29,47.73,45.1,52.97,44.94,1.38%
2022-08-26,47.08,48.62,49.27,46.69,-3.49%
2022-08-25,48.78,50.96,51.08,47.25,0.93%
2022-08-24,48.33,51.86,51.86,47.17,2.07%
2022-08-23,47.35,53.89,54.21,46.99,-6.50%
2022-08-22,50.64,53.67,55.13,50.51,0.60%
2022-08-19,50.34,52.53,52.53,48.72,6.18%
2022-08-18,47.41,51.68,51.68,47.36,-8.03%
2022-08-17,51.55,52.32,56.53,50.49,2.59%
2022-08-16,50.25,51.2,51.7,48.23,7.76%
2022-08-15,46.63,57.57,57.57,44.99,5.98%
2022-08-12,44,44.83,45.21,43.32,-3.02%
2022-08-11,45.37,46.51,46.94,44.47,-2.56%
2022-08-10,46.56,46.36,48.17,46.27,0.71%
2022-08-09,46.23,50.32,50.6,46.12,-0.37%
2022-08-08,46.4,50.54,50.54,46.4,-4.84%
2022-08-05,48.76,53.98,53.98,48.47,-11.57%
2022-08-04,55.14,52.88,55.32,51.06,10.02%
2022-08-03,50.12,52.69,54.02,49.69,-5.02%
2022-08-02,52.77,53.51,55.65,52.07,5.60%
2022-08-01,49.97,50.69,51.5,49.85,8.18%
2022-07-29,46.19,46.59,47.44,45.37,-2.08%
2022-07-28,47.17,47.76,52.74,46.82,-3.72%
2022-07-27,48.99,47.15,52.9,46.96,2.47%
2022-07-26,47.81,46.92,48.31,46.92,-0.31%
2022-07-25,47.96,48.88,48.88,46.96,0.25%
2022-07-22,47.84,49.14,49.14,47.27,-6.38%
2022-07-21,51.1,51.8,52.96,50.8,7.49%
2022-07-20,47.54,48.27,49.08,47.43,-2.52%
2022-07-19,48.77,49.33,49.55,48.21,-1.79%
2022-07-18,49.66,50.34,50.6,48.81,-4.08%
2022-07-15,51.77,53.81,54.05,51.16,-2.38%
2022-07-14,53.03,52.32,55.7,52.12,2.45%
2022-07-13,51.76,53.14,54.52,51.5,-4.85%
2022-07-12,54.4,52.97,54.49,50.92,2.45%
2022-07-11,53.1,53.43,55.86,52.23,1.92%
2022-07-08,52.1,53.74,54.04,51.64,-1.46%
2022-07-07,52.87,53.6,55.4,52.79,-3.29%
2022-07-06,54.67,52.87,55.22,52.62,3.92%
2022-07-05,52.61,54.91,56.46,52.61,6.50%
2022-07-04,49.4,49.4,49.4,49.4,0.00%
2022-07-01,49.4,51.25,51.31,48.84,1.02%
2022-06-30,48.9,50.82,50.82,48.58,0.68%
2022-06-29,48.57,49.34,49.34,47.19,4.25%
2022-06-28,46.59,50.52,50.6,46.33,-0.85%
2022-06-27,46.99,52.19,52.19,46.76,0.00%
2022-06-24,46.99,53.54,53.54,46.64,-3.27%
2022-06-23,48.58,54.02,54.09,48.06,-0.84%
2022-06-22,48.99,54.52,55.81,47.28,5.22%
2022-06-21,46.56,53.46,53.49,46.56,-5.35%
2022-06-17,49.19,55.31,55.31,44.57,6.31%
2022-06-16,46.27,53.11,53.11,45.9,-1.64%
2022-06-15,47.04,55.6,55.6,45.52,0.88%
2022-06-14,46.63,50.88,50.97,46.63,-1.96%
2022-06-13,47.56,56.33,56.33,46.61,10.81%
2022-06-10,42.92,49.47,49.54,42.84,-2.17%
2022-06-09,43.87,47.5,47.5,43.02,-1.13%
2022-06-08,44.37,49.48,49.55,44.37,-3.29%
2022-06-07,45.88,51.3,51.47,45.67,-4.22%
2022-06-06,47.9,51.3,51.51,47.9,3.61%
2022-06-03,46.23,47.8,50.5,45.6,-3.28%
2022-06-02,47.8,49.14,51.38,46.57,-2.73%
2022-06-01,49.14,49.82,51.69,48.82,-1.36%
2022-05-31,49.82,51.77,51.94,47.66,3.96%
2022-05-27,47.92,46.03,50.22,46.03,4.11%
2022-05-26,46.03,46.76,48.25,45.28,-1.56%
2022-05-25,46.76,47.04,50.25,46.29,-0.60%
2022-05-24,47.04,48.63,50.66,42.78,-3.27%
2022-05-23,48.63,53.52,53.57,48.33,-4.12%
2022-05-20,50.72,51.16,51.88,50.01,-0.86%
2022-05-19,51.16,51.89,54.75,50.39,-1.41%
2022-05-18,51.89,50.34,52.48,50.34,3.08%
2022-05-17,50.34,51.89,54.71,49.85,-2.99%
2022-05-16,51.89,55.96,56.49,51.22,1.31%
2022-05-13,51.22,52.71,53.88,51.09,-2.83%
2022-05-12,52.71,53.43,55.48,52.2,-1.35%
2022-05-11,53.43,56.06,57.41,51.96,-4.69%
2022-05-10,56.06,57.9,58.64,55.92,-3.18%
2022-05-09,57.9,57.92,58.58,55.93,5.62%
2022-05-06,54.82,54.72,57.33,54.72,0.18%
2022-05-05,54.72,53.15,55.17,50.57,2.95%
2022-05-04,53.15,54.04,56.9,52.51,-1.65%
2022-05-03,54.04,54.15,56.31,53.84,-0.20%
2022-05-02,54.15,56.98,57.07,53.13,1.98%
2022-04-29,53.1,51.94,54.72,51.71,2.23%
2022-04-28,51.94,53.38,54.79,50.91,-2.70%
2022-04-27,53.38,53.57,57,52.57,-0.35%
2022-04-26,53.57,52.86,54.13,47.71,1.34%
2022-04-25,52.86,56,56.05,52.69,3.34%
2022-04-22,51.15,49.86,51.26,49.86,2.59%
2022-04-21,49.86,52.23,52.23,48.99,-4.54%
2022-04-20,52.23,50.34,54.02,50.34,3.75%
2022-04-19,50.34,50.94,53.13,49.67,-1.18%
2022-04-18,50.94,55.2,56.23,50.68,-4.57%
2022-04-14,53.38,51.2,54.53,49.24,4.26%
2022-04-13,51.2,55.25,57.38,50.81,-7.33%
