,Date,STD_A,STD_B,STD_C,STD_D,STD_E,STD_F,STD_G,STD_Sum,STD_Total
273,2023-01-24,67932.9404036675,23128.946281270488,12708.390854588964,15828.023910245103,35142.72123442431,30107.36166005047,259145.14535829224,443993.5297025391,274737.236677737
274,2023-01-25,53623.89462954905,21746.11660356567,16412.59974844222,161.5057913457459,24931.67001616101,4114.946008601933,250262.32508046017,371253.0578781258,275392.6653651935
275,2023-01-26,47400.197384553285,22196.801763099833,14100.667874901506,11246.796658605685,32349.033304020333,3362.3138645574727,245480.68782922215,376136.49867896026,272894.9949080216
276,2023-01-27,59896.14466285531,25242.20031408993,9108.418826798745,11136.093701889515,34989.44071924623,14483.292874736322,262102.01523404053,416957.6063336566,314144.2121436135
277,2023-01-30,60620.75849817487,22090.417369112303,4123.300226790911,24789.85056600475,32765.557184193098,44622.46129526645,257674.62996237335,446686.97510191577,295189.0591626458
278,2023-01-31,64749.239994442236,72675.18150551313,7941.308739610008,11119.119899491674,28130.575228063586,15333.951546056187,250443.84150139542,450393.21841457224,287725.594209722
279,2023-02-01,63524.326826284654,19991.5727649429,3726.9594785686786,3159.189978099909,33171.180237207525,13514.047759149336,252475.5757999735,389562.8528442265,257046.05665702026
280,2023-02-02,59141.30937999246,18850.24090444796,5222.336209672848,894.663312659324,34936.54281458373,8413.669383130795,248337.19571037777,375795.95771486487,257404.3031832772
281,2023-02-03,83009.2719678049,21993.70589626653,7607.569207479858,2683.707231135994,32548.953077009224,3469.392695679261,239566.3408506106,390878.9409259864,257869.80796522528
282,2023-02-06,72652.87214116461,23684.966607354432,3304.072617760128,16629.048308510915,34466.98351278964,65505.993487487256,221804.14421201058,438048.0808870776,252403.23167837385
283,2023-02-07,77913.20161956488,20394.51017672987,5943.38962195671,2969.0746036095284,34993.54964831867,38268.04768076361,243565.95484149805,424047.7281924413,266841.7785172064
284,2023-02-08,52846.8951202737,20289.762859954877,7962.498029488995,9922.781277080261,36468.255736855426,14683.34165692525,248715.01675907936,390888.55143965787,266313.48669354327
285,2023-02-09,66482.25629862885,19702.681058128102,11900.727492027447,6613.5600029165835,36546.63418116891,2785.413299178239,245014.10046668083,389045.372798729,258580.6780097989
286,2023-02-10,59662.847725275205,16991.48691661538,5037.815901605033,11466.532935689489,34225.06216497487,9201.762710110988,260059.8410411279,396645.34939539887,298933.39127185853
287,2023-02-13,73759.51981490078,24433.227992507138,7919.951808513453,1710.973793873476,29814.564026999087,1695.3841377537303,268843.62881627475,408177.2503908224,313551.55349375453
288,2023-02-14,91023.89199781521,18886.99981359414,9843.372209475116,11843.484878390615,34324.5909358222,39737.49824187425,274115.0806984632,479774.9187754347,323092.3353284862
289,2023-02-15,68226.55246651084,17045.2543728715,7870.466409214439,1836.2869782599348,31099.63110274192,9895.704390015038,266190.0302240039,402163.9259436176,313977.4322734492
290,2023-02-16,79216.72856196045,15484.06213859951,16221.642422963072,663.2972456234668,27217.490936395974,15164.329797657103,256984.96288141466,410952.51398461417,285557.7524671471
291,2023-02-17,79593.62032349125,24288.627575684244,8097.3975949211335,1648.040636880265,31372.534322283103,5577.004590150121,255852.14469928294,406429.36974269303,285885.5136062208
